,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
AL,234001,264530,242243,255849,242204,313665,270743,258941,230731,254958,276734
AK,12913,15685,16965,16078,17796,18629,19790,23807,25120,23608,24117
AZ,96752,80898,85935,113360,98806,98958,120149,129266,139231,148625,154992
AR,124882,125695,126235,124987,114237,121310,119813,117808,115408,115289,125039
CA,604499,647227,715878,838547,705086,744983,749645,738814,932768,1120569,1023623
CO,80070,80116,82190,104147,102686,116979,125648,123965,147499,150632,154200
CT,26358,29529,30357,30760,26910,30046,32677,33236,34222,33502,38245
DC,65,49,114,290,285,305,344,824,1107,1316,1603
DE,2952,3577,3838,4172,3581,3795,4224,3517,3102,3268,3384
FL,195232,213645,230259,227710,223034,234142,231370,223817,223467,238863,249373
GA,174517,195374,221553,221862,208634,249309,269205,271697,283411,274351,288550
HI,15921,15815,15253,16647,18206,22742,24428,24963,27598,26922,26268
ID,133541,134502,133288,177643,155318,139240,155423,152332,150481,171013,176869
IL,199719,251022,271336,282364,294748,316695,327934,345344,358785,387954,382793
IN,131764,157512,187149,215828,207246,215572,229744,252275,263355,262065,266719
IA,413336,547827,634235,657394,656800,704719,740893,747514,793869,817464,836726
KS,85267,91075,103678,107503,116218,160732,184884,180373,206873,247541,248242
KY,61024,72836,71210,79456,69491,81889,83005,76502,77800,88214,89015
LA,109774,107145,113338,112191,109621,126191,149570,132250,154739,135752,137292
ME,182576,148204,159001,161563,157341,161720,157454,161418,141850,152503,154006
MD,44835,48414,48686,57804,48883,53519,53166,47614,48211,55356,65939
MA,42737,49336,50648,53116,49978,57032,62219,62787,65570,72399,79230
MI,146310,131657,147391,161909,161316,188127,202358,222155,215246,229974,240104
MN,218974,262847,299125,310581,306465,307069,345987,345122,353311,368460,372435
MS,50044,55625,65227,68286,80585,64679,64551,60737,78717,74157,79815
MO,89945,101279,104590,104414,95247,114264,113594,103864,103496,113042,127783
MT,123136,113798,114783,140363,124377,114499,134146,125018,128035,135765,142447
NE,177032,178841,269110,301952,277782,281464,288402,311137,326922,365659,374000
NV,37884,46731,48939,50278,56587,66534,67519,75371,88579,98150,105663
NH,39884,45367,45146,46133,44618,52904,55538,61342,56234,59346,55586
NJ,23449,33864,37292,38875,43627,49545,54092,45208,46535,48141,51030
NM,35367,31001,34549,37067,38061,39658,41845,38811,54772,67349,85106
NY,399484,369975,367403,405071,364216,382040,401223,412382,414373,450143,446102
NC,143056,148863,158391,156898,153167,192348,173987,170009,199473,218610,251596
ND,58719,85152,116219,141087,135164,132669,146858,151913,170538,207846,203109
OH,110717,97090,124232,136946,138260,156554,165921,160434,159245,161871,167729
OK,75383,81605,96019,100945,119647,165025,163067,187217,243527,268087,302129
OR,414463,415665,399550,518190,499340,464060,485233,439200,468602,495609,481279
PA,117868,128938,160247,182625,171395,201197,199603,202671,197620,206497,222974
RI,2967,3566,3724,3679,2960,2702,4421,4886,4692,5947,6621
SC,96543,103035,115370,117506,119714,134299,137000,128618,131035,130400,145256
SD,144447,179384,214683,237549,217925,209519,222713,217615,226419,225523,235220
TN,135440,179235,168515,184814,173295,217500,186908,189390,159791,176435,196518
TX,306975,304805,397186,456427,469283,500601,547503,586962,714190,811457,903003
UT,13953,15951,17678,24387,21019,17178,22235,23993,36544,53277,50330
VT,27030,31572,32420,30555,26308,33314,32832,38785,35570,37830,41498
VA,117907,115242,110820,104936,102372,118391,136734,138537,139965,138903,158108
WA,882230,832840,822184,1063525,1019834,928038,940937,872303,930646,950948,938680
WV,29407,45121,45978,47220,44878,53863,50020,37954,39606,41696,45435
WI,178497,171839,208904,207867,197963,204782,214934,218338,219451,216737,224400
WY,21703,34009,44696,60191,53505,52908,54028,49730,54545,55900,51450
