,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
AL,237856,274392,266140,279972,265964,336862,293899,284415,259532,281538,298413
AK,13126,15912,17148,16702,17831,18931,22762,23828,26226,24438,24960
AZ,111992,96274,101344,129780,114962,119660,139783,149186,162312,171736,178463
AR,126307,130887,138625,135135,125379,132369,131627,129281,127818,120247,123771
CA,680732,726123,837498,947812,811515,859435,865005,863477,1060607,1251196,1154499
CO,77362,78330,81844,107003,107298,121965,130630,132628,157964,160765,164632
CT,36462,41681,43544,43378,38997,42943,45474,46769,47844,47376,50352
DC,565,620,1123,1310,1094,1175,1313,1831,2193,2257,2664
DE,5789,6640,7755,7862,7140,7610,8064,7745,7594,7912,8047
FL,242565,272937,289754,288653,287384,301818,298060,293815,290072,308818,317519
GA,198358,220566,247703,248170,238737,284158,297887,301699,298544,291673,302415
HI,19342,19711,18210,20457,21540,25956,28001,29433,32380,31974,31109
ID,132857,136273,132007,177400,156129,140163,155533,154044,152847,173310,178877
IL,160655,186177,205653,221586,230437,253088,261461,265782,268926,288805,284744
IN,99311,118682,140945,153234,148545,158397,163577,176667,185159,182369,185892
IA,213180,289408,341273,348928,362547,388817,410751,420061,446433,462726,463365
KS,58223,66668,75325,81059,91138,135460,153656,150793,179121,218947,220334
KY,71481,85039,84675,90831,80760,96925,97126,89852,92154,101450,102050
LA,114723,119238,134481,135148,130798,151597,173375,158293,176183,155241,155001
ME,186763,153514,163928,166773,162610,168346,164143,168598,150033,160001,160433
MD,60165,66647,71897,80337,71426,78471,77495,73198,73751,80858,90388
MA,60565,69073,75296,77285,73317,82502,87254,88992,93007,99805,105179
MI,158418,149750,159811,176562,179189,208620,221254,238946,233743,241883,250423
MN,179586,203855,228195,241815,246678,245901,275703,277657,282761,298590,302168
MS,50436,56832,75384,76322,88927,76907,78055,74334,77183,74605,76814
MO,84232,92068,101619,96885,86052,99246,98938,94747,92964,100339,108530
MT,125438,116456,117221,143495,127821,118144,137744,129472,132756,140466,147074
NE,84810,86963,129192,146181,134685,139353,147598,161057,165363,188640,193504
NV,44501,54242,56467,58071,63717,74085,76205,85252,99703,109610,117300
NH,43631,49904,51207,52028,50259,59058,61733,67612,62789,66287,62121
NJ,50705,66404,74234,74587,77587,85968,91010,81600,85367,86388,86929
NM,36695,33262,40278,43726,45404,46394,48195,48924,64739,78052,95157
NY,428758,409748,406281,441037,401415,418510,438924,449716,454453,491405,490276
NC,167205,179903,189835,188554,186606,228340,209096,206877,222370,243102,273156
ND,43508,64260,86825,106199,102510,101289,114647,113492,128478,163993,160512
OH,116288,114672,128705,137227,142730,160394,162675,155495,156011,156223,158586
OK,87945,92578,108361,114751,135557,178059,177933,203142,260364,284335,317896
OR,418908,423055,406879,527092,508135,472255,495005,451808,483200,511110,496804
PA,147224,165871,191415,216973,205017,235486,233338,236236,231093,240896,251187
RI,6308,7420,7179,6905,6012,6105,7902,8469,8260,9548,10031
SC,106872,121866,134412,135880,138965,156589,158550,151243,150318,150723,163509
SD,82021,106123,130843,155713,140977,129139,140105,134348,143948,141136,149546
TN,150057,192436,177753,193627,183764,229258,197847,199676,172837,189395,205952
TX,351075,352951,461084,529219,536423,584153,634678,674365,822659,914028,1008996
UT,17793,20365,22772,31285,28034,25009,29681,33788,47596,64201,61286
VT,28825,34194,34817,33021,28840,36144,35557,41539,38639,40992,44241
VA,140866,144885,143772,136051,134379,152516,167727,169401,167397,164298,181484
WA,898118,853813,839887,1080057,1036984,942925,957379,892135,949189,968932,956795
WV,33587,50902,52218,53543,51399,61073,57172,45008,47851,50017,53701
WI,160024,153703,188117,186278,177578,188087,194798,198018,197759,194795,199559
WY,22477,35036,45927,61745,55378,54732,55969,52328,58492,59437,54917
