,WY,WI,WV,WA,VA,VT,UT,TX,TN,SD,SC,RI,PA,OR,OK,OH,ND,NC,NY,NM,NJ,NH,NV,NE,MT,MO,MS,MN,MI,MA,MD,ME,LA,KY,KS,IA,IN,IL,ID,HI,GA,FL,DE,DC,CT,CO,CA,AR,AZ,AK,AL
2018,51450,224400,45435,938680,158108,41498,50330,903003,196518,235220,145256,6621,222974,481279,302129,167729,203109,251596,446102,85106,51030,55586,105663,374000,142447,127783,79815,372435,240104,79230,65939,154006,137292,89015,248242,836726,266719,382793,176869,26268,288550,249373,3384,1603,38245,154200,1023623,125039,154992,24117,276734
2017,55900,216737,41696,950948,138903,37830,53277,811457,176435,225523,130400,5947,206497,495609,268087,161871,207846,218610,450143,67349,48141,59346,98150,365659,135765,113042,74157,368460,229974,72399,55356,152503,135752,88214,247541,817464,262065,387954,171013,26922,274351,238863,3268,1316,33502,150632,1120569,115289,148625,23608,254958
2016,54545,219451,39606,930646,139965,35570,36544,714190,159791,226419,131035,4692,197620,468602,243527,159245,170538,199473,414373,54772,46535,56234,88579,326922,128035,103496,78717,353311,215246,65570,48211,141850,154739,77800,206873,793869,263355,358785,150481,27598,283411,223467,3102,1107,34222,147499,932768,115408,139231,25120,230731
2015,49730,218338,37954,872303,138537,38785,23993,586962,189390,217615,128618,4886,202671,439200,187217,160434,151913,170009,412382,38811,45208,61342,75371,311137,125018,103864,60737,345122,222155,62787,47614,161418,132250,76502,180373,747514,252275,345344,152332,24963,271697,223817,3517,824,33236,123965,738814,117808,129266,23807,258941
2014,54028,214934,50020,940937,136734,32832,22235,547503,186908,222713,137000,4421,199603,485233,163067,165921,146858,173987,401223,41845,54092,55538,67519,288402,134146,113594,64551,345987,202358,62219,53166,157454,149570,83005,184884,740893,229744,327934,155423,24428,269205,231370,4224,344,32677,125648,749645,119813,120149,19790,270743
2013,52908,204782,53863,928038,118391,33314,17178,500601,217500,209519,134299,2702,201197,464060,165025,156554,132669,192348,382040,39658,49545,52904,66534,281464,114499,114264,64679,307069,188127,57032,53519,161720,126191,81889,160732,704719,215572,316695,139240,22742,249309,234142,3795,305,30046,116979,744983,121310,98958,18629,313665
2012,53505,197963,44878,1019834,102372,26308,21019,469283,173295,217925,119714,2960,171395,499340,119647,138260,135164,153167,364216,38061,43627,44618,56587,277782,124377,95247,80585,306465,161316,49978,48883,157341,109621,69491,116218,656800,207246,294748,155318,18206,208634,223034,3581,285,26910,102686,705086,114237,98806,17796,242204
2011,60191,207867,47220,1063525,104936,30555,24387,456427,184814,237549,117506,3679,182625,518190,100945,136946,141087,156898,405071,37067,38875,46133,50278,301952,140363,104414,68286,310581,161909,53116,57804,161563,112191,79456,107503,657394,215828,282364,177643,16647,221862,227710,4172,290,30760,104147,838547,124987,113360,16078,255849
2010,44696,208904,45978,822184,110820,32420,17678,397186,168515,214683,115370,3724,160247,399550,96019,124232,116219,158391,367403,34549,37292,45146,48939,269110,114783,104590,65227,299125,147391,50648,48686,159001,113338,71210,103678,634235,187149,271336,133288,15253,221553,230259,3838,114,30357,82190,715878,126235,85935,16965,242243
2009,34009,171839,45121,832840,115242,31572,15951,304805,179235,179384,103035,3566,128938,415665,81605,97090,85152,148863,369975,31001,33864,45367,46731,178841,113798,101279,55625,262847,131657,49336,48414,148204,107145,72836,91075,547827,157512,251022,134502,15815,195374,213645,3577,49,29529,80116,647227,125695,80898,15685,264530
2008,21703,178497,29407,882230,117907,27030,13953,306975,135440,144447,96543,2967,117868,414463,75383,110717,58719,143056,399484,35367,23449,39884,37884,177032,123136,89945,50044,218974,146310,42737,44835,182576,109774,61024,85267,413336,131764,199719,133541,15921,174517,195232,2952,65,26358,80070,604499,124882,96752,12913,234001
