"SITE_ID","YEAR","DATEON","DATEOFF","SO2_CONC","SO4_CONC","NO3_CONC","HNO3_CONC","TNO3_CONC","NH4_CONC","CA_CONC","NA_CONC","MG_CONC","K_CONC","CL_CONC"
"HVT424","2003.0","12/31/2002 09:00:00","12/30/2003 08:00:00","40.755","2.447","0.101","0.118","0.217","0.135","0.04","0.495","0.064","0.038",""
"PED108","2002.0","01/01/2002 09:00:00","12/31/2002 08:00:00","","","","","","","","","","",""
"NCS415","2008.0","01/01/2008 09:00:00","12/30/2008 08:00:00","","","","","","","","","","",""
"DCP114","2003.0","12/31/2002 09:00:00","12/30/2003 08:00:00","8.86","4.724","1.421","2.741","4.118","1.815","0.269","0.1","0.06","0.074",""
"ROM206","2005.0","01/04/2005 09:00:00","01/03/2006 08:00:00","0.317","0.559","0.184","0.543","0.718","0.229","0.078","0.02","0.013","0.023","0.013"
"SND152","2002.0","01/01/2002 09:00:00","12/31/2002 08:00:00","","","","","","","","","","",""
"BBE401","1999.0","12/29/1998 09:00:00","01/04/2000 08:00:00","0.895","2.415","0.61","0.715","1.314","0.676","","","","",""
"BEL116","2009.0","12/30/2008 09:00:00","12/29/2009 08:00:00","4.641","3.123","0.766","1.298","2.044","1.107","0.19","0.208","0.046","0.087","0.099"
"UVL124","2011.0","01/04/2011 09:00:00","01/03/2012 08:00:00","1.994","1.871","1.422","1.067","2.472","0.979","0.303","0.07","0.059","0.064","0.059"
"PET427","2015.0","12/30/2014 09:00:00","12/29/2015 08:00:00","0.396","0.596","0.227","0.569","0.787","0.208","0.162","0.07","0.022","0.026","0.028"
"VOY413","2011.0","01/04/2011 09:00:00","01/03/2012 08:00:00","0.397","0.933","0.436","0.352","0.783","0.396","0.164","0.045","0.037","0.042","0.026"
"CTH110","2004.0","12/30/2003 09:00:00","01/04/2005 08:00:00","5.677","3.59","0.747","1.72","2.439","1.305","0.155","0.086","0.028","0.048","0.042"
"WSP144","1999.0","12/29/1998 09:00:00","01/04/2000 08:00:00","8.382","3.884","1.275","2.668","3.9","1.44","","","","",""
"SUM156","2004.0","12/30/2003 09:00:00","01/04/2005 08:00:00","1.324","3.61","0.365","0.879","1.23","0.761","0.121","0.521","0.076","0.083","0.22"
"JOT403","2005.0","01/04/2005 09:00:00","01/03/2006 08:00:00","0.702","1.23","0.976","2.53","3.466","0.482","0.27","0.184","0.05","0.058","0.03"
"CTH110","2000.0","01/04/2000 09:00:00","01/02/2001 08:00:00","6.733","3.461","0.703","2.004","2.675","1.228","0.153","0.089","0.026","0.045",""
"YOS404","2012.0","01/03/2012 09:00:00","01/01/2013 08:00:00","0.345","0.658","0.344","0.6","0.935","0.253","0.102","0.103","0.028","0.039","0.022"
"SPD111","2003.0","12/31/2002 09:00:00","12/30/2003 08:00:00","4.474","4.7","0.598","1.506","2.08","1.602","0.332","0.054","0.032","0.078",""
"MOR409","2012.0","01/03/2012 09:00:00","01/01/2013 08:00:00","0.127","0.45","0.104","0.17","0.272","0.138","0.025","0.11","0.017","0.039","0.095"
"PAR107","2006.0","01/03/2006 09:00:00","01/02/2007 08:00:00","4.861","4.335","0.405","0.989","1.379","1.218","0.408","0.06","0.039","0.098","0.042"
"CAD150","2018.0","01/02/2018 09:00:00","01/01/2019 08:00:00","0.436","1.258","0.387","0.56","0.938","0.383","0.166","0.157","0.039","0.084","0.048"
"SHN418","2011.0","01/04/2011 09:00:00","01/03/2012 08:00:00","1.573","2.36","0.495","1.017","1.497","0.894","0.141","0.077","0.026","0.045","0.046"
"CND125","2012.0","01/03/2012 09:00:00","01/01/2013 08:00:00","0.751","1.994","0.498","0.861","1.345","0.704","0.113","0.202","0.042","0.088","0.094"
"PIN414","2011.0","01/04/2011 09:00:00","01/03/2012 08:00:00","0.241","0.881","0.727","0.628","1.345","0.222","0.121","0.52","0.078","0.06","0.43"
"CAT175","2018.0","01/02/2018 09:00:00","01/01/2019 08:00:00","0.34","0.725","0.458","0.535","0.985","0.348","0.099","0.071","0.022","0.038","0.056"
"ALH157","2008.0","01/01/2008 09:00:00","12/30/2008 08:00:00","3.542","3.087","1.968","1.169","3.119","1.375","0.532","0.107","0.064","0.082","0.078"
"GLR468","2015.0","12/30/2014 09:00:00","12/29/2015 08:00:00","0.241","0.359","0.187","0.248","0.431","0.179","0.151","0.032","0.03","0.054","0.022"
"SEK430","2018.0","01/02/2018 09:00:00","01/01/2019 08:00:00","0.908","1.098","1.145","1.306","2.43","0.575","0.27","0.192","0.061","0.137","0.043"
"PND165","2001.0","01/02/2001 09:00:00","01/01/2002 08:00:00","0.376","0.599","0.191","0.396","0.581","0.225","0.122","0.044","0.017","0.036",""
