"SITE_ID","YEAR","SEASON","DATEON","DATEOFF","SO2_CONC","SO4_CONC","NO3_CONC","HNO3_CONC","TNO3_CONC","NH4_CONC","CA_CONC","NA_CONC","MG_CONC","K_CONC","CL_CONC"
"STK138","2002.0","SP","02/26/2002 09:00:00","06/04/2002 08:00:00","2.318","2.617","3.317","1.151","4.45","1.687","0.499","0.09","0.127","0.06",""
"SAL133","2018.0","SP","02/27/2018 09:00:00","05/29/2018 08:00:00","0.729","1.112","1.31","1.177","2.469","0.663","0.328","0.064","0.081","0.064","0.046"
"THR422","2004.0","SP","03/02/2004 09:00:00","06/01/2004 08:00:00","0.952","1.369","0.548","0.602","1.141","0.504","0.215","0.09","0.039","0.048","0.018"
"GRC474","2009.0","SP","03/03/2009 09:00:00","06/02/2009 08:00:00","0.233","0.731","0.345","0.435","0.773","0.236","0.26","0.114","0.039","0.037","0.029"
"BFT142","2005.0","WI","11/30/2004 09:00:00","03/01/2005 08:00:00","4.972","2.977","1.37","1.494","2.84","0.863","0.123","0.72","0.092","0.073","0.391"
"WNC429","2012.0","WI","11/29/2011 09:00:00","02/28/2012 08:00:00","0.445","0.396","0.337","0.356","0.687","0.175","0.155","0.032","0.014","0.015","0.019"
"CAD150","2001.0","SU","05/29/2001 09:00:00","09/04/2001 08:00:00","1.16","5.26","0.102","1.477","1.556","1.57","0.157","0.191","0.042","0.101",""
"YEL408","2016.0","WI","12/01/2015 09:00:00","03/01/2016 08:00:00","0.684","0.141","0.1","0.094","0.192","0.072","0.017","0.014","0.003","0.007","0.015"
"ALH157","2017.0","SP","02/28/2017 09:00:00","05/30/2017 08:00:00","1.204","1.475","0.986","1.08","2.049","0.644","0.412","0.089","0.064","0.07","0.053"
"EVE419","2014.0","SU","06/03/2014 09:00:00","09/02/2014 08:00:00","0.434","1.681","0.848","0.261","1.105","0.205","0.357","0.927","0.146","0.123","1.056"
"YEL408","1999.0","SP","03/02/1999 09:00:00","06/01/1999 08:00:00","0.983","0.752","0.215","0.189","0.402","0.201","","","","",""
"CDR119","2001.0","SP","02/27/2001 09:00:00","05/29/2001 08:00:00","6.401","4.65","0.431","1.838","2.24","1.507","0.261","0.112","0.047","0.07",""
"CAN407","2009.0","SP","03/03/2009 09:00:00","06/02/2009 08:00:00","0.236","0.744","0.281","0.421","0.696","0.232","0.383","0.082","0.048","0.052","0.033"
"LRL117","2001.0","WI","11/28/2000 09:00:00","02/27/2001 08:00:00","28.791","3.794","0.79","2.568","3.317","1.301","0.142","0.165","0.019","0.044",""
"KNZ184","2016.0","WI","12/01/2015 09:00:00","03/01/2016 08:00:00","0.506","0.904","1.726","0.451","2.169","0.629","0.859","0.053","0.028","0.037","0.051"
"ABT147","2012.0","FA","09/04/2012 09:00:00","12/04/2012 08:00:00","0.768","1.328","1.047","0.698","1.734","0.589","0.088","0.313","0.047","0.057","0.255"
"CAT175","2009.0","FA","09/01/2009 09:00:00","12/01/2009 08:00:00","0.989","1.131","0.333","0.588","0.911","0.414","0.071","0.088","0.02","0.036","0.055"
"HOX148","2006.0","SP","02/28/2006 09:00:00","05/30/2006 08:00:00","1.82","1.966","0.457","0.993","1.434","0.684","0.262","0.046","0.069","0.042","0.039"
