,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
AL,64,62,68,71,78,97,100,101,431,1812,3425
AK,2,3,3,3,3,3,3,3,14,20,28
AZ,3112,3445,4518,7604,18096,31405,43572,48236,52862,66326,70800
AR,53,59,80,85,100,108,111,124,372,442,2118
CA,29985,31297,36006,41816,53911,84832,156494,211876,267580,340408,381733
CO,819,1148,1808,2865,3886,5186,6046,6271,9509,13974,15338
CT,929,1062,1137,1189,1295,1601,2241,2954,4130,5089,6486
DC,20,22,80,203,240,253,292,304,295,481,651
DE,50,85,125,383,607,1001,1189,1230,1133,1354,1492
FL,23615,23273,24638,25868,27441,28428,29805,30189,30909,38265,53528
GA,264,293,388,536,750,1312,2396,2461,10257,20717,20960
HI,1799,2033,2311,2870,4333,6056,7557,8364,9818,12584,13083
ID,20,23,29,29,47,62,64,81,390,4405,5388
IL,1054,1105,1286,1322,1565,1797,1894,1940,2036,2288,2747
IN,102,128,134,168,185,488,1205,1714,2391,3032,3694
IA,19,32,33,34,48,87,268,419,587,906,1291
KS,23,24,28,29,39,54,56,87,125,231,345
KY,48,60,67,86,93,184,188,198,366,481,719
LA,79,83,113,165,319,669,1075,1521,1852,1958,2190
ME,127,127,139,141,194,265,271,323,419,578,766
MD,103,136,214,556,1432,2224,3449,4376,6834,9348,11457
MA,337,446,683,1063,2526,4694,9150,12536,17495,21533,28179
MI,408,432,466,568,752,765,817,854,1090,1693,2307
MN,189,203,229,243,299,343,411,473,645,6248,10438
MS,12,12,13,17,18,34,35,29,73,903,3080
MO,35,29,35,49,227,518,1189,1542,1876,2433,2980
MT,33,31,33,32,86,115,117,85,110,275,497
NE,25,25,28,31,33,37,38,41,90,220,373
NV,2649,2837,3376,4257,6079,8780,11652,18219,33327,43062,48554
NH,60,68,83,96,126,169,206,292,547,876,1057
NJ,2631,3350,4910,7854,14103,16749,19683,20969,22265,25634,28242
NM,185,208,383,1712,3869,4715,6235,7258,8591,13077,14765
NY,1348,1475,1735,2134,3231,3860,5298,7731,10677,13922,17694
NC,269,343,429,582,1974,4155,7898,13871,33398,49099,57835
ND,3,4,4,4,6,7,7,7,7,7,8
OH,202,249,438,564,1176,1345,1567,1679,1875,2436,2757
OK,24,25,26,31,36,48,49,71,115,382,691
OR,1250,1392,1569,1692,1938,2139,2326,2433,3143,4831,8472
PA,605,738,1435,2552,3122,3511,3708,3759,4072,4686,5116
RI,65,64,64,105,154,163,240,298,450,679,1173
SC,31,35,38,47,53,58,117,140,412,2037,6949
SD,4,5,5,5,6,6,9,10,15,32,29
TN,37,34,50,55,173,713,856,1294,1546,1679,2378
TX,550,622,854,1280,2419,3222,4817,6398,10948,25156,36303
UT,45,58,81,113,204,282,434,980,11167,23097,23896
VT,84,97,107,173,280,461,627,1044,1335,2029,2253
VA,454,467,507,545,627,656,730,804,1106,4035,8244
WA,108,123,155,201,270,337,471,649,958,1201,1507
WV,46,44,46,57,76,83,85,93,104,126,140
WI,227,260,294,334,421,423,468,505,584,953,1288
WY,5,4,6,6,15,24,24,27,33,45,67
